date,participant_id,age,sex,handedness,computer_code,bias,buttonPress,MEG,MRI
-,sub-01,-,-,-,pilot_1,,old,-,-
-,sub-02,-,-,-,pilot_2,,old,-,-
-,sub-03,-,-,-,pilot_3,,old,-,-
-,sub-04,-,-,-,pilot_4,,old,-,-
-,sub-05,-,-,-,pilot_5,,old,-,-
-,sub-06,44,M,R,pilot_6,,old,-,-
10-26-2023,sub-07,19,F,R,AZLLGK,2.66,old,complete,complete
10-04-2023,sub-08,20,M,R,59N82C,3.33,old,complete,complete
10-10-2023,sub-09,33,F,R,WGB5JB,5,old,complete,complete
10-13-2023,sub-10,21,M,R,8X9HBY,2.88,old,complete,complete
10-17-2023,sub-11,26,F,R,RT2PGJ,2.44,old,complete,complete
10-27-2023,sub-12,20,F,R,HCUZQ4,-2.05,old,complete,complete
11-01-2023,sub-13,19,F,R,SXBT5E,-1.82,old,complete,complete
11-07-2023,sub-14,18,F,R,AG8944,-1.71,old,complete,complete
11-14-2023,sub-15,23,F,R,HX8F4X,3.33,old,complete,complete
11-17-2023,sub-16,26,M,R,8TMH85,-1.71,old,complete,complete
11-21-2023,sub-17,28,M,R,HS76SM,1.88,old,complete,complete
11-29-2023,sub-18,19,F,R,QKR7UR,-1.6,old,complete,complete
12-12-2023,sub-19,20,F,R,A388CU,4.56,old,complete,complete
12-15-2023,sub-20,40,F,L,TCNM89,1.42,old,complete,complete
12-18-2023,sub-21,26,M,R,extTVFMU4,2.55,old,complete,complete
01-03-2024,sub-22,19,M,R,NR4D56,-1.26,old,complete,complete
01-04-2024,sub-23,22,F,R,LHFW66,2.09,old,complete,missing
01-09-2024,sub-24,18,F,R,KHEDCY,-1.04,old,complete,missing
01-26-2024,sub-25,19,F,R,RZWJ7,1.19,old,complete,complete
01-31-2024,sub-26,23,F,R,DEDNDJ,1.31,old,complete,complete
02-05-2024,sub-27,31,M,L,extU2M7EY,3.22,old,complete,complete
02-09-2024,sub-28,31,F,R,XULCX9,1.87,old,complete,complete
02-15-2024,sub-29,18,M,R,VHF5LJ,1.08,old,complete,complete
02-16-2024,sub-30,21,F,R,YAPAPT,1.31,old,complete,complete
02-21-2024,sub-31,18,M,R,9J2B9V,1.31,old,complete,complete
02-23-2024,sub-32,24,F,R,J2WZ7A,-1.71,old,complete,complete
02-26-2024,sub-33,18,F,R,HDVLMJ,1.76,old,complete,complete
03-01-2024,sub-34,18,F,R,A7BF4V,-1.38,old,complete,complete
03-05-2024,sub-35,18,F,R,SXNKDN,-1.83,old,complete,complete
03-07-2024,sub-36,18,F,R,J2GEED,-1.04,old,complete,complete
03-14-2024,sub-37,23,F,R,49D4JB,1.53,old,complete,complete
03-15-2024,sub-38,19,F,R,GZFAWR,1.19,old,complete,complete
03-18-2024,sub-39,18,M,R,PAWEZ5,1.08,old,complete,complete
03-26-2024,sub-40,18,M,R,45TDGV,1.76,old,complete,complete
03-27-2024,sub-41,18,F,R,GVYFG2,-2.39,old,complete,complete
04-04-2024,sub-42,21,M,A,5WXBTL,1.08,old,complete,complete
04-05-2024,sub-43,20,F,R,AS978K,3.32,old,complete,complete
04-08-2024,sub-44,21,F,R,UGHYY9,1.53,old,complete,complete
04-09-2024,sub-45,18,F,R,3V2AAK,-2.05,old,complete,complete
04-15-2024,sub-46,22,F,R,GHLDMF,2.43,old,complete,complete
04-18-2024,sub-47,21,M,A,ZFQWV7,-1.71,old,complete,complete
04-19-2024,sub-48,18,F,R,WXY728,1.53,old,complete,complete
04-23-2024,sub-49,18,F,R,54RWW6,-2.83,old,complete,complete
04-24-2024,sub-50,21,F,R,V9V8F6,2.21,old,complete,complete
05-02-2024,sub-51,20,M,R,9ZSUKT,2.1,old,complete,complete
05-03-2024,sub-52,23,M,R,L846DP,2.32,old,complete,complete
05-06-2024,sub-53,18,F,R,LNM8HK,-2.16,old,complete,complete
05-07-2024,sub-54,18,F,R,79BRLF,-2.72,old,complete,complete
05-09-2024,sub-55,22,M,R,FYE33Z,-1.37,old,complete,complete
05-10-2024,sub-56,28,F,R,KX3NVJ,1.64,old,complete,complete
05-27-2024,sub-57,20,F,R,W87LJY,1.31,old,complete,complete
05-31-2024,sub-58,23,M,R,G6H3NQ,1.42,old,complete,complete
06-03-2024,sub-59,22,F,R,QVDAP2,2.77,old,complete,complete
06-06-2024,sub-60,19,F,R,3KHMXV,3.1,old,complete,complete
06-07-2024,sub-61,18,F,R,FW9GP,-1.82,old,complete,complete
06-11-2024,sub-62,20,F,R,V9HDQM,1.76,old,complete,complete
06-12-2024,sub-63,18,F,L,9E5YN3,-1.38,old,complete,complete
06-12-2024,sub-64,20,M,R,3VKQNW,1.21,old,complete,complete
06-13-2024,sub-65,18,F,R,EQMWG7,1.08,old,complete,complete
06-14-2024,sub-66,20,F,R,XJB3T2,-1.38,old,complete,complete
06-17-2024,sub-67,18,F,R,FX366H,-1.61,old,complete,complete
06-18-2024,sub-68,18,F,L,4ESU5W,-2.05,old,complete,complete
06-21-2024,sub-69,19,F,L,EBYXXF,1.54,old,complete,complete
06-28-2024,sub-70,18,F,R,SBVR2Y,-2.72,old,complete,complete
07-02-2024,sub-71,18,F,R,K83Z5S,-1.83,old,complete,complete
07-03-2024,sub-72,18,F,R,XUAWB8,-1.38,bad,complete,complete
07-04-2024,sub-73,19,F,R,9BAJK3,-2.05,bad,complete,complete
07-05-2024,sub-74,19,M,R,CBFYGF,1.09,bad,complete,complete
07-05-2024,sub-75,18,F,R,YAY7MU,-2.38,bad,complete,complete
07-08-2024,sub-76,19,M,R,DTWDFD,0.97,bad,complete,complete
07-22-2024,sub-77,18,F,R,NTDU8N,3.22,new,complete,complete
07-23-2024,sub-78,23,M,R,Q5UG4U,-2.38,new,complete,complete
07-24-2024,sub-79,21,M,L,extMCJQKQ,-1.83,new,complete,complete
07-25-2024,sub-80,19,F,R,US5GA6,-1.93,new,complete,complete
07-26-2024,sub-81,18,F,R,KETDQV,-1.26,new,complete,complete
07-29-2024,sub-82,28,F,R,QSXJ4V,1.1,new,complete,complete
07-31-2024,sub-83,18,F,R,88FLB2,-1.84,new,complete,complete
08-01-2024,sub-84,19,M,R,extRTPD9A,2.54,new,complete,complete
08-06-2024,sub-85,22,M,R,ext6ADJ3D,1.75,new,complete,complete
08-07-2024,sub-86,18,M,R,ET2PJN,1.08,new,complete,complete
08-08-2024,sub-87,20,M,R,HB57WT,1.65,new,complete,complete
08-09-2024,sub-88,18,M,R,3X47YB,-1.26,new,complete,complete
08-12-2024,sub-89,19,M,R,F2ESKX,1.2,new,complete,complete
08-14-2024,sub-90,18,F,R,BMP66Z,-1.15,new,complete,complete
08-16-2024,sub-91,20,M,R,NSX5BE,-1.92,new,complete,complete
08-19-2024,sub-92,18,F,R,LLXKA7,-1.15,new,complete,complete
08-20-2024,sub-93,21,F,R,7UFXKR,-1.49,new,complete,complete
08-21-2024,sub-94,22,F,R,extFQABY7,1.08,new,complete,complete
08-22-2024,sub-95,21,F,R,EEU5LY,-2.04,new,complete,complete
08-23-2024,sub-96,21,M,R,7YNEU7,1.09,new,complete,complete
08-26-2024,sub-97,22,F,R,5TM3XZ,2.98,new,complete,complete
08-29-2024,sub-98,19,F,R,YYQQF8,1.42,new,complete,complete
09-03-2024,sub-99,23,F,R,JYBZXP,-1.94,new,complete,complete
09-06-2024,sub-100,27,F,R,KAGAJY,2.77,new,complete,complete
09-09-2024,sub-101,20,F,R,UTCZ7P,-1.82,new,complete,complete
09-10-2024,sub-102,20,M,R,52C4TG,-1.49,new,complete,complete
09-13-2024,sub-103,19,F,R,YRGNZY,-1.38,new,complete,complete
09-16-2024,sub-104,18,F,R,NTQYDM,-1.27,new,complete,complete
09-17-2024,sub-105,22,M,R,4YTMB6,-1.15,new,complete,complete
09-24-2024,sub-106,19,F,R,3EA2HH,-1.26,new,complete,complete
09-26-2024,sub-107,19,F,R,ZMGPTL,5.23,new,complete,complete
10-08-2024,sub-108,19,F,A,2RULAV,2,new,complete,complete
10-11-2024,sub-109,20,M,R,EPAZT3,1.05,new,complete,complete
10-15-2024,sub-110,25,F,R,RV2RJL,1.98,new,complete,complete
10-17-2024,sub-111,27,M,R,XVGH7P,-1.05,new,complete,incomplete
10-18-2024,sub-112,23,F,R,H3Y7ZS,2.32,new,complete,complete
10-22-2024,sub-113,20,M,R,K8RBJJ,1.18,new,complete,complete
10-24-2024,sub-114,21,M,R,W7NRH9,-1.62,new,complete,complete
10-25-2024,sub-115,20,M,R,K22ZS3,1.97,new,complete,complete
10-28-2024,sub-116,21,M,A,85JXDK,-1.69,new,complete,complete
