name;hemisphere;lobe
G_Ins_lg_and_S_cent_ins-lh;L;INSULAR
G_Ins_lg_and_S_cent_ins-rh;R;INSULAR
G_and_S_cingul-Ant-lh;L;FRONTAL/LIMBIC
G_and_S_cingul-Ant-rh;R;FRONTAL/LIMBIC
G_and_S_cingul-Mid-Ant-lh;L;LIMBIC
G_and_S_cingul-Mid-Ant-rh;R;LIMBIC
G_and_S_cingul-Mid-Post-lh;L;LIMBIC
G_and_S_cingul-Mid-Post-rh;R;LIMBIC
G_and_S_frontomargin-lh;L;FRONTAL
G_and_S_frontomargin-rh;R;FRONTAL
G_and_S_occipital_inf-lh;L;OCCIPITAL
G_and_S_occipital_inf-rh;R;OCCIPITAL
G_and_S_paracentral-lh;L;PARIETAL
G_and_S_paracentral-rh;R;PARIETAL
G_and_S_subcentral-lh;L;FRONTAL/PARIETAL
G_and_S_subcentral-rh;R;FRONTAL/PARIETAL
G_and_S_transv_frontopol-lh;L;FRONTAL
G_and_S_transv_frontopol-rh;R;FRONTAL
G_cingul-Post-dorsal-lh;L;LIMBIC
G_cingul-Post-dorsal-rh;R;LIMBIC
G_cingul-Post-ventral-lh;L;LIMBIC
G_cingul-Post-ventral-rh;R;LIMBIC
G_cuneus-lh;L;OCCIPITAL
G_cuneus-rh;R;OCCIPITAL
G_front_inf-Opercular-lh;L;FRONTAL
G_front_inf-Opercular-rh;R;FRONTAL
G_front_inf-Orbital-lh;L;FRONTAL
G_front_inf-Orbital-rh;R;FRONTAL
G_front_inf-Triangul-lh;L;FRONTAL
G_front_inf-Triangul-rh;R;FRONTAL
G_front_middle-lh;L;FRONTAL
G_front_middle-rh;R;FRONTAL
G_front_sup-lh;L;FRONTAL
G_front_sup-rh;R;FRONTAL
G_insular_short-lh;L;INSULAR
G_insular_short-rh;R;INSULAR
G_oc-temp_lat-fusifor-lh;L;OCCIPITAL/TEMPORAL
G_oc-temp_lat-fusifor-rh;R;OCCIPITAL/TEMPORAL
G_oc-temp_med-Lingual-lh;L;OCCIPITAL/TEMPORAL
G_oc-temp_med-Lingual-rh;R;OCCIPITAL/TEMPORAL
G_oc-temp_med-Parahip-lh;L;OCCIPITAL/TEMPORAL
G_oc-temp_med-Parahip-rh;R;OCCIPITAL/TEMPORAL
G_occipital_middle-lh;L;OCCIPITAL
G_occipital_middle-rh;R;OCCIPITAL
G_occipital_sup-lh;L;OCCIPITAL
G_occipital_sup-rh;R;OCCIPITAL
G_orbital-lh;L;FRONTAL
G_orbital-rh;R;FRONTAL
G_pariet_inf-Angular-lh;L;PARIETAL
G_pariet_inf-Angular-rh;R;PARIETAL
G_pariet_inf-Supramar-lh;L;PARIETAL
G_pariet_inf-Supramar-rh;R;PARIETAL
G_parietal_sup-lh;L;PARIETAL
G_parietal_sup-rh;R;PARIETAL
G_postcentral-lh;L;PARIETAL
G_postcentral-rh;R;PARIETAL
G_precentral-lh;L;PARIETAL
G_precentral-rh;R;PARIETAL
G_precuneus-lh;L;PARIETAL
G_precuneus-rh;R;PARIETAL
G_rectus-lh;L;FRONTAL
G_rectus-rh;R;FRONTAL
G_subcallosal-lh;L;LIMBIC
G_temp_sup-G_T_transv-lh;L;TEMPORAL
G_temp_sup-G_T_transv-rh;R;TEMPORAL
G_temp_sup-Lateral-lh;L;TEMPORAL
G_temp_sup-Lateral-rh;R;TEMPORAL
G_temp_sup-Plan_polar-lh;L;TEMPORAL
G_temp_sup-Plan_polar-rh;R;TEMPORAL
G_temp_sup-Plan_tempo-lh;L;TEMPORAL
G_temp_sup-Plan_tempo-rh;R;TEMPORAL
G_temporal_inf-lh;L;TEMPORAL
G_temporal_inf-rh;R;TEMPORAL
G_temporal_middle-lh;L;TEMPORAL
G_temporal_middle-rh;R;TEMPORAL
Lat_Fis-ant-Horizont-lh;L;FRONTAL
Lat_Fis-ant-Horizont-rh;R;FRONTAL
Lat_Fis-ant-Vertical-lh;L;INSULAR
Lat_Fis-ant-Vertical-rh;R;INSULAR
Lat_Fis-post-lh;L;INSULAR
Lat_Fis-post-rh;R;INSULAR
Pole_occipital-lh;L;OCCIPITAL
Pole_occipital-rh;R;OCCIPITAL
Pole_temporal-lh;L;TEMPORAL
Pole_temporal-rh;R;TEMPORAL
S_calcarine-lh;L;OCCIPITAL
S_calcarine-rh;R;OCCIPITAL
S_central-lh;L;FRONTAL
S_central-rh;R;FRONTAL
S_cingul-Marginalis-lh;L;FRONTAL/LIMBIC
S_cingul-Marginalis-rh;R;FRONTAL/LIMBIC
S_circular_insula_ant-lh;L;INSULAR
S_circular_insula_ant-rh;R;INSULAR
S_circular_insula_inf-lh;L;INSULAR
S_circular_insula_inf-rh;R;INSULAR
S_circular_insula_sup-lh;L;INSULAR
S_circular_insula_sup-rh;R;INSULAR
S_collat_transv_ant-lh;L;OCCIPITAL/TEMPORAL
S_collat_transv_ant-rh;R;OCCIPITAL/TEMPORAL
S_collat_transv_post-lh;L;OCCIPITAL/TEMPORAL
S_collat_transv_post-rh;R;OCCIPITAL/TEMPORAL
S_front_inf-lh;L;FRONTAL
S_front_inf-rh;R;FRONTAL
S_front_middle-lh;L;FRONTAL
S_front_middle-rh;R;FRONTAL
S_front_sup-lh;L;FRONTAL
S_front_sup-rh;R;FRONTAL
S_interm_prim-Jensen-lh;L;PARIETAL
S_interm_prim-Jensen-rh;R;PARIETAL
S_intrapariet_and_P_trans-lh;L;PARIETAL
S_intrapariet_and_P_trans-rh;R;PARIETAL
S_oc-temp_lat-lh;L;OCCIPITAL/TEMPORAL
S_oc-temp_lat-rh;R;OCCIPITAL/TEMPORAL
S_oc-temp_med_and_Lingual-lh;L;OCCIPITAL/TEMPORAL
S_oc-temp_med_and_Lingual-rh;R;OCCIPITAL/TEMPORAL
S_oc_middle_and_Lunatus-lh;L;OCCIPITAL
S_oc_middle_and_Lunatus-rh;R;OCCIPITAL
S_oc_sup_and_transversal-lh;L;OCCIPITAL
S_oc_sup_and_transversal-rh;R;OCCIPITAL
